masterid	id	controlid	cell	target	target_type	rep	newid	file_type	out_type	genome	lab
ENCSR000AKY	ENCFF226FKB	ENCSR000AKY	K562	Input_BB	control	1	Input_BB_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKY	ENCFF666YXZ	ENCSR000AKY	K562	Input_BB	control	2	Input_BB_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKY	ENCFF420ARY	ENCSR000AKY	K562	Input_BB	control	3	Input_BB_Rep3	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKU	ENCFF564SVK	ENCSR000AKY	K562	H3K4me3	histone	1	H3K4me3_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKU	ENCFF685PPQ	ENCSR000AKY	K562	H3K4me3	histone	2	H3K4me3_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKP	ENCFF121RHF	ENCSR000AKY	K562	H3K27ac	histone	1	H3K27ac_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKP	ENCFF907MNY	ENCSR000AKY	K562	H3K27ac	histone	2	H3K27ac_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKQ	ENCFF392ZKG	ENCSR000AKY	K562	H3K27me3	histone	1	H3K27me3_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKQ	ENCFF905CZD	ENCSR000AKY	K562	H3K27me3	histone	2	H3K27me3_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKS	ENCFF352HXD	ENCSR000AKY	K562	H3K4me1	histone	1	H3K4me1_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKS	ENCFF415GHS	ENCSR000AKY	K562	H3K4me1	histone	2	H3K4me1_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKR	ENCFF880HKV	ENCSR000AKY	K562	H3K36me3	histone	1	H3K36me3_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKR	ENCFF272JVI	ENCSR000AKY	K562	H3K36me3	histone	2	H3K36me3_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000APE	ENCFF104THG	ENCSR000AKY	K562	H3K9me3	histone	1	H3K9me3_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000APE	ENCFF155UQU	ENCSR000AKY	K562	H3K9me3	histone	2	H3K9me3_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKV	ENCFF149MXA	ENCSR000AKY	K562	H3K9ac	histone	1	H3K9ac_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKV	ENCFF505NMT	ENCSR000AKY	K562	H3K9ac	histone	2	H3K9ac_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKT	ENCFF446FUS	ENCSR000AKY	K562	H3K4me2	histone	1	H3K4me2_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKT	ENCFF583GSH	ENCSR000AKY	K562	H3K4me2	histone	2	H3K4me2_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKX	ENCFF255QRL	ENCSR000AKY	K562	H4K20me1	histone	1	H4K20me1_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000AKX	ENCFF923YUN	ENCSR000AKY	K562	H4K20me1	histone	2	H4K20me1_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000APC	ENCFF874SMO	ENCSR000AKY	K562	H2AFZ	histone	1	H2AFZ_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000APC	ENCFF007YZT	ENCSR000AKY	K562	H2AFZ	histone	2	H2AFZ_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000APD	ENCFF465UWC	ENCSR000AKY	K562	H3K79me2	histone	1	H3K79me2_Rep1	bam	alignments	E4v151	BradleyBernstein
ENCSR000APD	ENCFF863HNL	ENCSR000AKY	K562	H3K79me2	histone	2	H3K79me2_Rep2	bam	alignments	E4v151	BradleyBernstein
ENCSR000BGG	ENCFF939RUV	ENCSR000BGG	K562	Input_RM	control	1	Input_RM_Rep1	bam	alignments	E4v151	RichardMyers
ENCSR000BGG	ENCFF395PSG	ENCSR000BGG	K562	Input_RM	control	2	Input_RM_Rep2	bam	alignments	E4v151	RichardMyers
ENCSR000BGG	ENCFF579FHH	ENCSR000BGG	K562	Input_RM	control	3	Input_RM_Rep3	bam	alignments	E4v151	RichardMyers
ENCSR000BMH	ENCFF158VHG	ENCSR000BGG	K562	YY1	tf	1	YY1_Rep1	bam	alignments	E4v151	RichardMyers
ENCSR000BMH	ENCFF821RKN	ENCSR000BGG	K562	YY1	tf	2	YY1_Rep2	bam	alignments	E4v151	RichardMyers
